                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3702,                0.76618,                 1.0813,                0.77843,                0.64456,                0.70565,                0.37035,                 1.4642,                0.85378,                 1.1436,               0.008075,               0.008075,               0.008075
                     37,                 1.3642,                0.76279,                 1.0846,                0.77185,                0.65318,                0.70544,                 0.3724,                 1.4486,                0.82995,                 1.1398,                0.00802,                0.00802,                0.00802
                     38,                 1.3628,                0.75473,                 1.0775,                0.78344,                0.64887,                0.71128,                0.37289,                 1.4726,                0.83452,                  1.157,               0.007965,               0.007965,               0.007965
                     39,                 1.3595,                0.75772,                 1.0755,                0.77694,                0.65133,                0.70429,                 0.3725,                 1.4739,                0.84815,                 1.1576,                0.00791,                0.00791,                0.00791
                     40,                 1.3491,                0.75214,                 1.0773,                0.75817,                0.66446,                0.70273,                0.36821,                 1.4642,                0.82908,                 1.1393,               0.007855,               0.007855,               0.007855
                     41,                 1.3533,                0.74818,                  1.074,                0.77119,                 0.6627,                0.71034,                0.37473,                 1.4434,                0.82635,                 1.1385,                 0.0078,                 0.0078,                 0.0078
                     42,                 1.3481,                0.73425,                 1.0676,                0.76506,                0.66727,                0.70916,                0.36522,                 1.4947,                0.82951,                 1.1631,               0.007745,               0.007745,               0.007745
                     43,                 1.3421,                0.73988,                 1.0658,                0.76669,                0.64612,                0.69842,                0.37869,                 1.4099,                0.82872,                 1.1368,                0.00769,                0.00769,                0.00769
                     44,                  1.346,                0.73558,                 1.0665,                0.77045,                0.66048,                0.71188,                0.37063,                 1.4562,                0.82843,                 1.1429,               0.007635,               0.007635,               0.007635
                     45,                 1.3409,                0.73463,                 1.0664,                0.78069,                0.65418,                0.70837,                0.37413,                 1.4456,                0.80917,                 1.1369,                0.00758,                0.00758,                0.00758
                     46,                 1.3323,                0.72333,                 1.0656,                0.77694,                0.65849,                0.71294,                 0.3811,                  1.437,                0.79655,                 1.1477,               0.007525,               0.007525,               0.007525
                     47,                 1.3406,                0.73414,                 1.0639,                 0.7629,                0.66999,                0.70772,                0.36795,                 1.4613,                0.82224,                  1.149,                0.00747,                0.00747,                0.00747
                     48,                  1.327,                0.72581,                 1.0663,                 0.7631,                0.66324,                0.70671,                0.37689,                 1.4359,                0.80712,                 1.1386,               0.007415,               0.007415,               0.007415
                     49,                  1.318,                0.71889,                 1.0553,                0.77737,                0.65186,                0.70766,                0.37519,                 1.4442,                0.80869,                 1.1386,                0.00736,                0.00736,                0.00736
                     50,                 1.3146,                0.71344,                 1.0564,                 0.7727,                0.66051,                 0.7133,                0.38184,                  1.419,                0.79976,                 1.1276,               0.007305,               0.007305,               0.007305
                     51,                 1.3197,                 0.7198,                 1.0581,                0.76389,                0.66187,                0.70566,                0.37108,                 1.4524,                0.81929,                 1.1397,                0.00725,                0.00725,                0.00725
                     52,                 1.3151,                0.71345,                 1.0528,                0.77033,                0.65278,                0.71036,                 0.3804,                 1.4315,                0.79966,                 1.1349,               0.007195,               0.007195,               0.007195
                     53,                 1.3101,                 0.7116,                 1.0532,                0.76995,                0.66137,                0.71273,                0.37942,                 1.4388,                0.80968,                 1.1307,                0.00714,                0.00714,                0.00714
                     54,                 1.3073,                0.70211,                 1.0506,                0.76828,                0.66512,                 0.7165,                0.37513,                 1.4702,                0.80236,                 1.1442,               0.007085,               0.007085,               0.007085
                     55,                 1.3063,                0.70187,                 1.0459,                0.77845,                0.66114,                0.71438,                 0.3763,                 1.4333,                0.79991,                 1.1364,                0.00703,                0.00703,                0.00703
                     56,                 1.2984,                0.70235,                 1.0504,                0.76353,                0.66911,                 0.7143,                 0.3815,                 1.4248,                0.79055,                 1.1318,               0.006975,               0.006975,               0.006975
                     57,                 1.2946,                0.69637,                 1.0482,                0.77725,                 0.6681,                0.71007,                0.37623,                 1.4245,                0.81795,                 1.1234,                0.00692,                0.00692,                0.00692
                     58,                 1.3027,                0.69411,                 1.0417,                0.76178,                 0.6701,                0.71479,                0.38512,                 1.4254,                  0.802,                 1.1411,               0.006865,               0.006865,               0.006865
                     59,                  1.291,                0.68786,                 1.0446,                0.76273,                0.67009,                0.71237,                0.37968,                 1.4539,                0.79426,                 1.1424,                0.00681,                0.00681,                0.00681
                     60,                 1.2919,                0.69446,                 1.0452,                0.76761,                0.65517,                 0.7017,                0.37779,                 1.4214,                 0.8002,                 1.1266,               0.006755,               0.006755,               0.006755
                     61,                 1.2925,                0.68542,                 1.0433,                0.77295,                0.66313,                0.71253,                0.37534,                 1.4555,                0.81201,                 1.1468,                 0.0067,                 0.0067,                 0.0067
                     62,                  1.286,                0.68848,                 1.0435,                0.76694,                0.66578,                0.71203,                0.38195,                 1.4367,                0.80033,                 1.1489,               0.006645,               0.006645,               0.006645
                     63,                  1.278,                0.68116,                 1.0404,                0.76764,                0.66346,                0.70786,                0.37829,                 1.4408,                0.79724,                 1.1442,                0.00659,                0.00659,                0.00659
                     64,                 1.2755,                0.68552,                 1.0387,                0.76046,                0.67052,                0.71312,                0.38341,                 1.4122,                0.79694,                 1.1254,               0.006535,               0.006535,               0.006535
                     65,                 1.2863,                0.68045,                 1.0393,                  0.774,                0.66744,                0.71544,                0.38352,                 1.4352,                0.80325,                  1.143,                0.00648,                0.00648,                0.00648
                     66,                 1.2883,                0.68368,                 1.0367,                 0.7731,                0.66379,                0.71163,                0.38193,                 1.4304,                0.79305,                 1.1463,               0.006425,               0.006425,               0.006425
                     67,                 1.2635,                 0.6716,                  1.032,                0.77108,                0.65882,                0.71128,                0.38064,                 1.4461,                0.80452,                 1.1455,                0.00637,                0.00637,                0.00637
                     68,                 1.2701,                0.67271,                 1.0342,                0.77136,                 0.6618,                0.71622,                0.38396,                 1.4391,                0.79506,                 1.1456,               0.006315,               0.006315,               0.006315
                     69,                 1.2666,                0.66762,                 1.0302,                0.75461,                0.67091,                0.71009,                 0.3795,                 1.4403,                0.79373,                 1.1432,                0.00626,                0.00626,                0.00626
                     70,                 1.2608,                0.66971,                 1.0319,                0.75682,                0.65981,                0.71241,                0.38177,                 1.4357,                0.78664,                 1.1462,               0.006205,               0.006205,               0.006205
                     71,                  1.262,                0.66411,                 1.0299,                0.77062,                0.66278,                0.71911,                0.38557,                 1.4342,                0.78892,                 1.1391,                0.00615,                0.00615,                0.00615
                     72,                 1.2506,                0.66063,                 1.0308,                0.76998,                0.66482,                0.71185,                0.38022,                   1.44,                0.79474,                   1.14,               0.006095,               0.006095,               0.006095
                     73,                 1.2684,                0.66627,                 1.0304,                0.77703,                0.65385,                0.70929,                 0.3825,                 1.4198,                0.79923,                 1.1393,                0.00604,                0.00604,                0.00604
                     74,                  1.249,                0.66113,                 1.0279,                0.76447,                 0.6681,                 0.7118,                0.38048,                 1.4321,                0.78994,                 1.1367,               0.005985,               0.005985,               0.005985
                     75,                  1.244,                0.65559,                 1.0231,                0.77202,                0.66678,                0.71463,                0.38605,                 1.4309,                 0.7881,                 1.1434,                0.00593,                0.00593,                0.00593
                     76,                 1.2475,                 0.6559,                 1.0272,                0.77345,                0.66448,                0.71335,                0.38351,                 1.4255,                0.79399,                  1.135,               0.005875,               0.005875,               0.005875
