                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3793,                0.76905,                  1.082,                0.77529,                0.65204,                0.70146,                0.37109,                 1.4724,                0.83435,                 1.1537,               0.008845,               0.008845,               0.008845
                     37,                 1.3696,                0.76127,                 1.0766,                0.76669,                0.65086,                0.69804,                0.36152,                 1.4744,                0.83685,                 1.1368,               0.008812,               0.008812,               0.008812
                     38,                 1.3696,                0.76169,                 1.0795,                0.75632,                0.66346,                0.69735,                0.35985,                 1.4892,                0.83445,                 1.1629,               0.008779,               0.008779,               0.008779
                     39,                 1.3663,                0.76744,                 1.0857,                0.78057,                0.64869,                0.70704,                0.37497,                 1.4703,                0.82358,                 1.1552,               0.008746,               0.008746,               0.008746
                     40,                 1.3732,                0.76024,                 1.0794,                0.77448,                0.65086,                0.70455,                0.37126,                 1.4884,                0.81806,                 1.1685,               0.008713,               0.008713,               0.008713
                     41,                 1.3484,                0.74499,                 1.0731,                0.76607,                0.65285,                0.70148,                0.37304,                 1.4498,                0.80703,                 1.1434,                0.00868,                0.00868,                0.00868
                     42,                 1.3568,                0.74629,                 1.0742,                0.76513,                 0.6565,                0.70425,                0.36461,                 1.5002,                0.82104,                 1.1642,               0.008647,               0.008647,               0.008647
                     43,                 1.3593,                0.75191,                 1.0798,                 0.7782,                 0.6439,                 0.7023,                0.37605,                 1.4426,                0.81552,                 1.1372,               0.008614,               0.008614,               0.008614
                     44,                 1.3477,                0.74112,                 1.0708,                0.76725,                0.65119,                0.70096,                0.36914,                 1.4586,                0.83441,                 1.1393,               0.008581,               0.008581,               0.008581
                     45,                 1.3511,                0.73826,                 1.0666,                0.77564,                0.65086,                0.70447,                0.37117,                  1.459,                0.83532,                 1.1451,               0.008548,               0.008548,               0.008548
                     46,                 1.3504,                0.74371,                 1.0755,                0.78204,                0.64556,                 0.7072,                0.37382,                 1.4837,                0.83749,                 1.1674,               0.008515,               0.008515,               0.008515
                     47,                 1.3379,                0.73388,                 1.0656,                0.77357,                0.65021,                0.70287,                0.37169,                 1.5044,                0.82537,                 1.1655,               0.008482,               0.008482,               0.008482
                     48,                 1.3443,                0.72822,                 1.0646,                0.76403,                 0.6618,                0.70768,                0.37595,                  1.469,                0.80521,                 1.1471,               0.008449,               0.008449,               0.008449
                     49,                 1.3279,                 0.7248,                 1.0624,                0.77021,                0.65749,                0.70819,                0.37409,                 1.4986,                0.82496,                  1.157,               0.008416,               0.008416,               0.008416
                     50,                 1.3439,                0.72759,                  1.061,                0.76238,                 0.6628,                 0.7062,                0.37525,                 1.4468,                 0.8225,                 1.1399,               0.008383,               0.008383,               0.008383
                     51,                 1.3454,                0.73196,                 1.0657,                0.77085,                 0.6628,                0.71038,                0.37455,                 1.4695,                  0.825,                  1.155,                0.00835,                0.00835,                0.00835
                     52,                 1.3329,                0.71552,                 1.0571,                0.78305,                0.65342,                0.70382,                0.36819,                 1.4777,                0.83254,                 1.1488,               0.008317,               0.008317,               0.008317
                     53,                   1.32,                0.71897,                 1.0568,                0.76729,                0.66545,                0.70918,                 0.3795,                 1.4641,                0.81759,                 1.1504,               0.008284,               0.008284,               0.008284
                     54,                 1.3345,                0.71843,                 1.0618,                0.77463,                0.65484,                0.70215,                0.37099,                  1.473,                0.82377,                 1.1429,               0.008251,               0.008251,               0.008251
                     55,                 1.3292,                0.72786,                 1.0617,                 0.7681,                 0.6565,                0.70601,                 0.3727,                 1.4825,                 0.8278,                  1.151,               0.008218,               0.008218,               0.008218
                     56,                 1.3187,                0.71954,                 1.0556,                0.79114,                0.64679,                0.70682,                0.37138,                 1.4778,                0.80488,                  1.146,               0.008185,               0.008185,               0.008185
                     57,                 1.3118,                0.70951,                 1.0511,                0.78959,                0.64954,                0.70593,                0.37194,                 1.4729,                0.81197,                 1.1573,               0.008152,               0.008152,               0.008152
                     58,                  1.308,                0.70337,                 1.0546,                0.76986,                0.65517,                 0.7046,                0.37683,                 1.4446,                0.81021,                 1.1479,               0.008119,               0.008119,               0.008119
                     59,                 1.3042,                0.69944,                 1.0468,                0.76419,                0.66446,                0.70815,                0.37336,                 1.4694,                0.80524,                 1.1577,               0.008086,               0.008086,               0.008086
